Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Neurostream: Scalable and Energy Efficient Deep Learning with Smart Memory Cubes,E. Azarkhish; D. Rossi; I. Loi; L. Benini,"Department of Electrical, Electronic and Information Engineering, University of Bologna, Bologna, Italy; Department of Electrical, Electronic and Information Engineering, University of Bologna, Bologna, Italy; Department of Electrical, Electronic and Information Engineering, University of Bologna, Bologna, Italy; Department of Information Technology and Electrical Engineering, Swiss Federal Institute of Technology Zurich, Zurich, Switzerland",IEEE Transactions on Parallel and Distributed Systems,,2018,29,2,420,434,"High-performance computing systems are moving towards 2.5D and 3D memory hierarchies, based on High Bandwidth Memory (HBM) and Hybrid Memory Cube (HMC) to mitigate the main memory bottlenecks. This trend is also creating new opportunities to revisit near-memory computation. In this paper, we propose a flexible processor-in-memory (PIM) solution for scalable and energy-efficient execution of deep convolutional networks (ConvNets), one of the fastest-growing workloads for servers and high-end embedded systems. Our co-design approach consists of a network of Smart Memory Cubes (modular extensions to the standard HMC) each augmented with a many-core PIM platform called NeuroCluster. NeuroClusters have a modular design based on NeuroStream coprocessors (for Convolution-intensive computations) and general-purpose RISC-V cores. In addition, a DRAM-friendly tiling mechanism and a scalable computation paradigm are presented to efficiently harness this computational capability with a very low programming effort. NeuroCluster occupies only 8 percent of the total logic-base (LoB) die area in a standard HMC and achieves an average performance of 240 GFLOPS for complete execution of full-featured state-of-the-art (SoA) ConvNets within a power budget of 2.5 W. Overall 11 W is consumed in a single SMC device, with 22.5 GFLOPS/W energy-efficiency which is 3.5X better than the best GPU implementations in similar technologies. The minor increase in system-level power and the negligible area increase make our PIM system a cost-effective and energy efficient solution, easily scalable to 955 GFLOPS with a small network of just four SMCs.",1045-9219;1558-2183;2161-9883,,10.1109/TPDS.2017.2752706,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8038819,Hybrid memory cube;convolutional neural networks;large-scale deep learning;streaming floating-point,Random access memory;Standards;Memory management;Machine learning;Three-dimensional displays;Bandwidth;Indexes,cache storage;coprocessors;data structures;DRAM chips;embedded systems;field programmable gate arrays;graphics processing units;learning (artificial intelligence);microprocessor chips;multiprocessing systems;neural nets;parallel architectures;parallel processing;parallel programming;performance evaluation;power aware computing;program compilers;reduced instruction set computing,energy-efficiency;convolution-intensive computations;flexible processor-in-memory solution;2.5D memory hierarchies;hybrid memory cube;high bandwidth memory;high-performance computing systems;energy efficient solution;system-level power;total logic-base;scalable computation paradigm;modular design;NeuroCluster;many-core PIM platform;standard HMC;high-end embedded systems;deep convolutional networks;energy-efficient execution;processor-in-memory solution;near-memory computation;3D memory hierarchies;smart memory cubes;scalable energy efficient deep learning;computer speed 240.0 GFLOPS;power 2.5 W;power 11.0 W;computer speed 955.0 GFLOPS,,10,61,,,,,,IEEE,IEEE Journals & Magazines
A Hardware/Software Co-Design Approach for Real-Time Object Detection and Tracking on Embedded Devices,C. Bui; N. Patel; D. Patel; S. Rogers; A. Sawant; R. Manwatkar; H. Tabkhi,"Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical and Computer Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA",SoutheastCon 2018,,2018,,,1,7,"Many embedded applications require real-time visual analysis and sensing of the physical environment. Embedded vision is essential for a wide range of embedded applications such as video surveillance, robotics, and industrial manufacturing. While the algorithm design of vision applications have advanced significantly during the last decade, the embedded realization of many vision applications is at the early stages. The primary challenge is the real-time low-power execution of vision algorithms which demand high computation performance and high power consumption. This paper presents a novel hardware/software co-design approach for real-time execution of object detection and tracking on embedded devices. Our design targeted on Xilinx Zynq platform which combines the FPGAs reconfigurable fabric (for custom hardware implementation), and ARM CPU cores (for software implementation) in a single chip. The proposed approach consists of six major vision kernels including (1) Gaussian Smoothing, (2) Mixture of Gaussians Background Subtraction, (3) Morphology Filters all are mapped to the hardware, and Blob Detection, Histogram Checking, and Kalman Filter mapped to ARM cores (software execution). All six vision kernels execute concurrently over streaming pixels in a producer/consumer fashion. Our results, based on implementation and full integration on Xilinx Zynq platform, presents a real-time performance on 780P pixel resolution at 60 frames per second with less than 2 Watt power consumption.",1558-058X;1091-0050,978-1-5386-6133-8978-1-5386-6134,10.1109/SECON.2018.8478808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8478808,,Real-time systems;Streaming media;Hardware;Smoothing methods;Convolution;Object detection;Field programmable gate arrays,embedded systems;field programmable gate arrays;hardware-software codesign;image filtering;Kalman filters;microprocessor chips;object detection;object tracking;power aware computing;reconfigurable architectures;system-on-chip,embedded devices;embedded vision;low-power execution;high computation performance;high power consumption;Xilinx Zynq platform;ARM CPU cores;Blob Detection;ARM cores;object detection;object tracking;visual analysis;visual sensing;hardware/software co-design;Gaussian smoothing;Gaussians background subtraction;morphology filters;histogram checking;Kalman filter,,,10,,,,,,IEEE,IEEE Conferences
Highly Paralleled Low-Cost Embedded HEVC Video Encoder on TI KeyStone Multicore DSP,H. Jiang; R. Fan; Y. Zhang; G. Wang; Z. Li,"Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, China; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, China; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, China; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, China; Beijing Key Laboratory of Digital Media, School of Computer Science and Engineering, Beihang University, Beijing, China",IEEE Transactions on Circuits and Systems for Video Technology,,2019,29,4,1163,1178,"Although HEVC, the emerging video coding standard, has doubled the coding performance of its predecessor H.264/AVC, its significantly increased computational complexity imposes great obstacles for HEVC encoders to be employed in real-time applications with embedded processors, such as digital signal processors (DSPs). In this paper, a TI Keystone multicore TMS320C6678 DSP-based highly paralleled low-cost fast HEVC encoding solution is well designed and implemented. First, the overall structure of HEVC encoder with CTU-level parallelism is re-designed to well support the encoding parallelism, with full consideration of the hardware characteristics. Second, a low-delay and low-memory multicore data transmission mechanism is proposed to reduce the latency of data access between internal L2 memory and external DDR3. Third, the encoding bottlenecks, i.e., the most time-consuming encoding modules, are identified and optimized for acceleration with TI powerful C6000 SIMD instructions. Experimental results show that our proposed HEVC encoder on TI TMS320C6678 DSPs can significantly improve the real-time capacity with tolerable performance loss, 0.93 dB performance loss under on average 465.50 times speedup as compared to CPU-based HM reference software, more specifically, which makes it desirable in power-constrained real-time video applications.",1051-8215;1558-2205,,10.1109/TCSVT.2018.2826074,National Key Research and Development Program of China; National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8336889,HEVC;TMS320C6678;SIMD;multicore DSP;embedded system,Encoding;Data communication;Multicore processing;Real-time systems;Streaming media;Hardware;Decoding,,,,,,,,,,,IEEE,IEEE Journals & Magazines
OpenCL Performance Prediction using Architecture-Independent Features,B. Johnston; G. Falzon; J. Milthorpe,NA; NA; NA,2018 International Conference on High Performance Computing & Simulation (HPCS),,2018,,,561,569,"OpenCL is an attractive programming model for heterogeneous high-performance computing systems, with wide support from hardware vendors and significant performance portability. To support efficient scheduling on HPC systems it is necessary to perform accurate performance predictions for OpenCL workloads on varied compute devices, which is challenging due to diverse computation, communication and memory access characteristics which result in varying performance between devices. The Architecture Independent Workload Characterization (AIWC) tool can be used to characterize OpenCL kernels according to a set of architecture-independent features. This work presents a methodology where AIWC features are used to form a model capable of predicting accelerator execution times. We used this methodology to predict execution times for a set of 37 computational kernels running on 15 different devices representing a broad range of CPU, GPU and MIC architectures. The predictions are highly accurate, differing from the measured experimental run-times by an average of only 1.2%, and correspond to actual execution time mispredictions of 9 ps to 1 sec according to problem size. A previously unencountered code can be instrumented once and the AIWC metrics embedded in the kernel, to allow performance prediction across the full range of modelled devices. The results suggest that this methodology supports correct selection of the most appropriate device for a previously unen- countered code, which is highly relevant to the HPC scheduling setting.",,978-1-5386-7879-4978-1-5386-7878-7978-1-5386-7880,10.1109/HPCS.2018.00095,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514400,,Graphics processing units;Computational modeling;Memory management;Predictive models;Kernel;Performance evaluation;Parallel processing,graphics processing units;multiprocessing systems;parallel processing;performance evaluation;scheduling,OpenCL workloads;memory access characteristics;OpenCL kernels;AIWC features;accelerator execution times;AIWC metrics;modelled devices;OpenCL performance prediction;heterogeneous high-performance computing systems;hardware vendors;HPC systems;GPU;CPU;HPC scheduling;MIC architectures;architecture independent workload characterization tool;performance portability;programming model;computational kernels,,1,24,,,,,,IEEE,IEEE Conferences
A High-Definition LIDAR System Based on Two-Mirror Deflection Scanners,X. T. Nguyen; V. L. Dinh; H. Lee; H. Kim,"Inter-university Semiconductor Research Center, Department of Electrical and Computer Engineering, Seoul National University, Seoul, South Korea; Inter-university Semiconductor Research Center, Department of Electrical and Computer Engineering, Seoul National University, Seoul, South Korea; Inter-university Semiconductor Research Center, Department of Electrical and Computer Engineering, Seoul National University, Seoul, South Korea; Inter-university Semiconductor Research Center, Department of Electrical and Computer Engineering, Seoul National University, Seoul, South Korea",IEEE Sensors Journal,,2018,18,2,559,568,"This paper addresses the problem of adopting a state-of-art laser marking system with a two-mirror deflection scanner to make a high-definition light detection and ranging (LIDAR) system. To this end, a galvanometer scanner is modeled with parameterization and then the well-known raster scanning strategy is analyzed considering the physical scanning movement and the minimum spanning tree. As a result of this analysis, the relationship between the field of view (FOV) of the captured image and the scanning speed is clearly described. Furthermore, sufficient conditions are derived for an acquired image to fully cover the FOV and also for captured objects to be well aligned for a target frame rate. Finally, a prototype LIDAR system is developed to verify the proposed concepts and to prove that it successfully generates images at various resolutions depending on the target frame rates. Experimental results show that the scanner achieves the frame rates of 17.6, 9.0, and 4.6 frames per second fps for image sizes of 240 × 16, 240 × 32, and 240 × 64 resolutions, respectively.",1530-437X;1558-1748;2379-9153,,10.1109/JSEN.2017.2777500,Institute for Information and communications Technology Promotion grant through the Korea Government (MSIT); Research and Development Program of MOTIE/KEIT; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8119787,Laser scanner;galvanometer scanners;optimal scanning patterns;3D lidar systems,Laser radar;Sensors;Three-dimensional displays;Protocols;Laser modes;Laser theory;Image resolution,galvanometers;image capture;image resolution;image scanners;optical radar;optical scanners;trees (mathematics),raster scanning strategy;physical scanning movement;minimum spanning tree;FOV;target frame rate;prototype LIDAR system;image sizes;high-definition LIDAR system;two-mirror deflection scanner;high-definition light detection;galvanometer scanner;image capture;laser marking system;light detection and ranging system;image resolutions,,1,34,,,,,,IEEE,IEEE Journals & Magazines
H∞ Robust Control of Permanent Magnet Synchronous Motor Based on PCHD,W. Wang; H. Shen; L. Hou; H. Gu,"Faculty of Electrical and Control Engineering Liaoning Technical University, Huludao, 125105 China.; Faculty of Electrical and Control Engineering Liaoning Technical University, Huludao, 125105 China.; Faculty of Electrical and Control Engineering Liaoning Technical University, Huludao, 125105 China.; Faculty of Electrical and Control Engineering Liaoning Technical University, Huludao, 125105 China.",IEEE Access,,2019,PP,99,1,1,"The surface permanent magnet synchronous motor (SPMSM) speed regulation system is easily affected by the inner parameter perturbation and the external load disturbance at run time. To solve this problem, the H∞ robust control strategy is proposed in this paper. Firstly, given the systematic uncertainties, the H∞ robust current controller based on the Hamilton-Jacobi Inequality (HJI) is designed to ensure the robustness of current control under the SPMSM nominal mathematical model. This model is expressed as the Port-Controlled Hamiltonian with Dissipation (PCHD) form; secondly, the linear matrix inequality (LMI) based H∞ sliding surface and the sliding control law are designed under the extended state space expression of SPMSM motion equation. Thereby the robust H∞ sliding mode speed controller is acquired, thus realizing the robustness of speed control and improving the dynamic characteristics of the system. Finally, the effectiveness and availability of the proposed control strategy are verified by the hardware-in-the-loop(HIL) simulation experiment.",2169-3536,,10.1109/ACCESS.2019.2893243,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667050,Surface permanent magnet synchronous motor (SPMSM);H∞ robust control;sliding mode control;linear matrix inequality (LMI);Hamilton-Jacobi Inequality (HJI),Mathematical model;Permanent magnet motors;Robustness;Current control;Perturbation methods;Robust control;Uncertainty,,,,,,,,,,,IEEE,IEEE Early Access Articles
A Multi-Kernel Multi-Code Polar Decoder Architecture,G. Coppolino; C. Condo; G. Masera; W. J. Gross,"Department of Electrical and Telecommunications Engineering, Politecnico di Torino, Torino, Italy; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada; Department of Electrical and Telecommunications Engineering, Politecnico di Torino, Torino, Italy; Department of Electrical and Computer Engineering, McGill University, Montréal, QC, Canada",IEEE Transactions on Circuits and Systems I: Regular Papers,,2018,65,12,4413,4422,"Polar codes have received increasing attention in the past decade, and have been selected for the next generation of the wireless communication standard. Most research on polar codes has focused on codes constructed from a 2×2 polarization matrix, called binary kernel: codes constructed from binary kernels have code lengths that are bound to powers of 2. A few recent works have proposed construction methods based on multiple kernels of different dimensions, not only binary ones, allowing code lengths different from powers of 2. In this paper, we design and implement the first multi-kernel successive cancellation polar code decoder in literature. It can decode any code constructed with binary and ternary kernels: the architecture, sized for a maximum code length N<sub>max</sub>, is fully flexible in terms of code length, code rate, and kernel sequence. The decoder can achieve a frequency of over 1 GHz in 65 nm CMOS technology, and a throughput of 615 Mb/s. The area occupation ranges between 0.11 mm<sup>2</sup>for N<sub>max</sub>= 256 and 2.01 mm<sup>2</sup>for N<sub>max</sub>= 4096. Implementation results show an unprecedented degree of flexibility: with N<sub>max</sub>= 4096, up to 55 code lengths can be decoded with the same hardware, along with any kernel sequence and code rate.",1549-8328;1558-0806,,10.1109/TCSI.2018.2855679,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8419751,Polar codes;multi-kernel;successive-cancellation decoding;hardware implementation,Decoding;Kernel;Computer architecture;Encoding;Nickel;Hardware;Indexes,channel coding;decoding,ternary kernels;code rate;kernel sequence;multikernel multicode polar decoder architecture;polar codes;binary kernels;multiple kernels;wireless communication standard;CMOS technology;maximum code length;polar code decoder;multikernel successive cancellation;polarization matrix;code lengths;size 65.0 nm,,2,21,,,,,,IEEE,IEEE Journals & Magazines
LDPC Soft Decoding with Improved Performance in 1X-2X MLC and TLC NAND Flash-Based Solid State Drives,L. Zuolo; C. Zambelli; A. Marelli; R. Micheloni; P. Olivo,"Dipartimento di Ingegneria, Universit`a degli Studi di Ferrara, via G. Saragat,1 - 44122 Ferrara (Italy).; NA; NA; NA; NA",IEEE Transactions on Emerging Topics in Computing,,2018,PP,99,1,1,"The reliability of non-volatile NAND flash memories is reaching critical levels for traditional error detection and correction. Therefore, to ensure data trustworthiness in nowadays NAND flash-based Solid State Drives, it is essential to exploit powerful correction algorithms such as the Low Density Parity Check. However, the burdens of this approach materialize in a disk performance reduction. In this work a standard decoding approach is compared with an optimized solution exploiting hardware resources available in NAND flash chips. The simulation results on 2X, 1X and mid-1X MLC and TLC NAND flashbased Solid State Drives in terms of disk bandwidth, average latency, and Quality of Service favor the adoption of the presented solution in different host scenarios and realistic workloads. The proposed solution is particularly effective when high error correction interventions and read- or write-intensive workloads are considered.",2168-6750;2376-4562,,10.1109/TETC.2017.2688079,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7887724,Solid-State Drive;SSD;ECC;Low Density Parity Check;LDPC;Endurance;NAND Flash;MLC;TLC,High definition video;Parity check codes;Data transfer;Decoding;Error correction codes;Computer architecture;Engines,,,,3,,,,,,,IEEE,IEEE Early Access Articles
SD-PUF: Spliced Digital Physical Unclonable Function,J. Miao; M. Li; S. Roy; Y. Ma; B. Yu,"Cadence Design Systems, San Jose, CA, USA; Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, USA; Cadence Design Systems, San Jose, CA, USA; Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong; Department of Computer Science and Engineering, Chinese University of Hong Kong, Hong Kong",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,2018,37,5,927,940,"Digital circuit physical unclonable function (PUF) has been attracting attentions for the merits of resilience to the environmental and operational variations that analog PUFs suffer from. Existing state-of-the-art digital circuit PUFs, however, are either hybrid of analog-digital circuits which are still under the shadow of vulnerability, or impractical for real-world applications. In this paper, we propose a novel highly nonlinear and secure digital PUF (D-PUF) and the spliced version SD-PUF. The fingerprints are extracted from intentionally induced very large-scale integration interconnect randomness during lithography process, as well as a post-silicon shuffling process. Strongly skewed CMOS latches are used to ensure the immunity against environmental and operational variations. Crucially, a highly nonlinear logic network is proposed to effectively spread and augment any subtle interconnect randomness, which also enables strong resilience against machine learning attacks. On top of it, the expandable architecture of the proposed logic network empowers a novel post-silicon shuffle-splice mechanism, where multiple randomly selected D-PUFs are spliced to be one SD-PUF, pushing the statistical security to a much higher level, while significantly reducing the mask cost per PUF device. It also decouples the trustworthy demands enforced to the foundries or other third party manufacturers. Our proposed PUFs demonstrate close to ideal performance in terms of statistical metrics, including 0 intra-Hamming distance. Various state-of-the-art machine learning models show prediction accuracies almost no better than random guesses when attacking to the proposed PUFs. We also mathematically prove the probability of existence of identical SD-PUF pair is significantly lower than that of D-PUF pair, e.g., such probability of an SD-PUF spliced by 30 D-PUFs is 2.3 × 10<sup>-22</sup>, which is 19 order magnitude lower than that of D-PUF. Benefited from the proposed shuffle-splice mechanism, the mask cost per SD-PUF is also reduced by 300× than that of D-PUF.",0278-0070;1937-4151,,10.1109/TCAD.2017.2740296,Research Grants Council of Hong Kong SAR; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8010808,Digital physical unclonable function (D-PUF);hardware security;learning attacks;PUF,Integrated circuit interconnections;Lithography;Silicon;Security;Digital circuits;Computer architecture;Layout,cryptography;integrated circuit design;integrated circuit reliability;learning (artificial intelligence);logic gates;probability,spliced digital physical unclonable function;environmental variations;operational variations;analog-digital circuits;spliced version SD-PUF;large-scale integration interconnect randomness;analog PUF;postsilicon shuffling process;nonlinear logic network;digital circuit PUF,,,30,,,,,,IEEE,IEEE Journals & Magazines
2X Super-Resolution Hardware Using Edge-Orientation-Based Linear Mapping for Real-Time 4K UHD 60 fps Video Applications,Y. Kim; J. Choi; M. Kim,"School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Electrical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, South Korea",IEEE Transactions on Circuits and Systems II: Express Briefs,,2018,65,9,1274,1278,"Based on our previous super-interpolation method, we propose a novel hardware-friendly super-resolution (SR) algorithm, called HSI method, and its dedicated hardware architecture for up-scaling full-high-definition (FHD) video streams to 4K ultra-high-definition (UHD) video streams in real-time. Our proposed HSI method involves training and up-scaling steps. In the training step, an edge-orientation-based clustering is applied for low-resolution (LR) training patches to obtain a training patch set for each class, and a linear mapping kernel is learned from LR to high-resolution (HR) based on the training patch set for each class. In the up-scaling step, each LR input patch is transformed to an HR patch by applying the linear mapping kernel for its class. We implemented the up-scaling step of our HSI method by a dedicated hardware (HW) with the pre-trained linear mapping kernels stored in a look-up table. Our HW implementation, called HSI HW, contains 159K gate counts and achieves about 880 Mpixels/s throughput by using the TSMC 0.13-um CMOS process, and thus performing the SR operation from FHD to 4K UHD in real-time. Compared with conventional SR methods, our HW implementation of HSI reconstructs HR images of higher peak signal to noise ratio values and better visual quality.",1549-7747;1558-3791,,10.1109/TCSII.2018.2799577,Institute for Information and Communications Technology Promotion through the Korea Government (MSIT) Intelligent High Realistic Visual Processing for Smart Broadcasting Media; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274961,Super-resolution;linear mapping;regression;edge-orientation;up-scaling;UHD;real-time,Interpolation;Streaming media;Real-time systems;Ultra-high definition video;Regression analysis;Table lookup,,,,1,16,,,,,,IEEE,IEEE Journals & Magazines
Methods for accuracy-preserving acceleration of large-scale comparisons in CPU-based iris recognition systems,C. Rathgeb; N. Buchmann; H. Hofbauer; H. Baier; A. Uhl; C. Busch,"Germany; Germany; University of Salzburg, Austria; Germany; University of Salzburg, Austria; Germany",IET Biometrics,,2018,7,4,356,364,"To confirm an individual's identity accurately and reliably iris recognition systems analyse the texture that is visible in the iris of the eye. The rich random pattern of the iris constitutes a powerful biometric characteristic suitable for biometric identification in large-scale deployments. Identification attempts or deduplication checks require an exhaustive one-to-many comparison. Hence, for large-scale biometric databases with millions of enrollees, the time required for a biometric identification is expected to significantly increase. In this study, the authors analyse techniques to accelerate Hamming distance-based comparisons of binary biometric reference data, i.e. iris-codes, in large-scale iris recognition systems, which preserve the biometric performance. The focus is put on software-based optimisations, an efficient two-step iris-code alignment process referred to as TripleA, and a combination thereof. Benchmarking the throughput and identifying potential bottlenecks of a portable commodity hardware-based iris recognition system is of particular interest. Based on the conducted experiments the authors point out practical boundaries of large-scale comparisons in central processing unit-based iris recognition systems, bridging the gap between the fields of iris recognition and software design.",2047-4938;2047-4946,,10.1049/iet-bmt.2016.0125,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8393490,,,iris recognition;microprocessor chips;software engineering,portable commodity hardware-based iris recognition system;software-based optimisations;large-scale iris recognition systems;iris-codes;Hamming distance-based comparisons;software design;TripleA process;two-step IC alignment process;binary biometric reference;biometric characteristic;CPU-based iris recognition system;accuracy-preserving acceleration,,,39,,,,,,IET,IET Journals & Magazines
A Compiler Framework for Fixed-Topology Non-Deterministic Finite Automata on SIMD Platforms,M. Nourian; H. Wu; M. Becchi,North Carolina State University; North Carolina State University; North Carolina State University,2018 IEEE 24th International Conference on Parallel and Distributed Systems (ICPADS),,2018,,,507,516,"Automata processing is at the core of many pattern matching applications. Previous efforts have proposed designs to accelerate automata traversal on various parallel platforms. Many existing acceleration methods store the finite automata states and transitions in memory. As a result, for these designs memory size and bandwidth are the main limiting factors to performance and power efficiency. Many applications, however, require processing several fixed-topology automata that differ only in the symbols associated to the transitions. This property enables the design of alternative, memory-efficient solutions. In this work, we target fixed-topology non-deterministic finite automata (NFAs) and propose a memory-efficient design that embeds the automata topology in code and stores only the transition symbols in memory. Our solution is suitable to SIMD architectures. In particular, we propose a compiler framework that, given a set of NFAs with fixed topology and the hardware configuration of the target SIMD platform, deploys the NFAs and the input streams to be processed onto the target device so as to exploit the available parallelism, maximize hardware utilization and optimize the memory access patterns. Our compiler framework performs a combination of platform-agnostic and platform-specific design decisions and optimizations. We showcase our compiler framework on GPU, Intel Xeon Phi and Intel Xeon Skylake platforms.",1521-9097,978-1-5386-7308-9978-1-5386-7309,10.1109/PADSW.2018.8644852,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8644852,Automata Processing;NFAs;SIMD;GPUs;Intel Xeon Phi platforms,Instruction sets;Automata;Memory management;Topology;Graphics processing units;Pattern matching;Hardware,deterministic automata;finite automata;optimisation;parallel processing;pattern matching;program compilers;topology,compiler framework;fixed-topology nondeterministic finite automata;SIMD platforms;automata processing;pattern matching applications;automata traversal;parallel platforms;automata topology;memory access patterns;platform-specific design decisions;NFA;optimizations,,,33,,,,,,IEEE,IEEE Conferences
Low-Cost Pseudoasynchronous Circuit Design Style With Reduced Exploitable Side Information,I. Levi; A. Fish; O. Keren,"Electrical Engineering, Faculty of Engineering, Bar-Ilan University, Ramat Gan, Israel; Electrical Engineering, Faculty of Engineering, Bar-Ilan University, Ramat Gan, Israel; Electrical Engineering, Faculty of Engineering, Bar-Ilan University, Ramat Gan, Israel",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,,2018,26,1,82,95,"Leakage of information through the power supply current has become a major factor in logic design. In this paper, a low cost and simple to employ design methodology dubbed pseudoasynchronous is presented. This design style combines the security advantages of asynchronous circuits with the ease of synchronous circuit design. Randomization and data-dependencies (DD) are utilized to hide information leakage from the current dissipation, and hence making the critical synchronization of power supply current traces hard to do. In addition, randomization and DD are utilized for both time-domain hiding of information leakage during the active region (dynamic currents) and for amplitude-domain hiding of information leakage during the static-region (leakage currents). The main advantages of this new approach are low area cost, reduced signal, and increased noise. Circuit-level analyses show that it is harder to exploit the information leakage from internal signals of the proposed design than from CMOS-based synchronous designs or other forms of time-domain hiding countermeasures.",1063-8210;1557-9999,,10.1109/TVLSI.2017.2757064,Israel Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8070392,"Asynchronous;data-dependence;globally asynchronous locally synchronous (GALS);hiding;information leakage;power nalysis (PA);pseudoasynchronous (<italic xmlns:ali=""http://www.niso.org/schemas/ali/1.0/"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">pAsynch</italic>);side-channel_analysis countermeasures;synchronous",Clocks;Synchronization;Security;Correlation;Time-domain analysis;Circuit synthesis;Leakage currents,asynchronous circuits;CMOS integrated circuits;leakage currents;logic design;security of data,amplitude-domain hiding;leakage currents;circuit-level analyses;time-domain hiding countermeasures;logic design;power supply current;pseudoasynchronous circuit design;reduced exploitable side information;CMOS-based synchronous designs,,,45,,,,,,IEEE,IEEE Journals & Magazines
New Spectrum Efficient Reconfigurable Filtered-OFDM Based L-Band Digital Aeronautical Communication System,N. Agrawal; S. J. Darak; F. Bader,"ECE Department, IIIT-Delhi, India 110020 (e-mail: fniharikaa@iiitd.ac.in).; ECE Department, IIIT-Delhi, India 110020 (e-mail: sumitg@iiitd.ac.in).; SCEE/IETR - CentraleSupelec, Rennes, France (e-mail: faouzi.bader@supelec.fr).",IEEE Transactions on Aerospace and Electronic Systems,,2019,PP,99,1,1,"To meet an ever-increasing demand of the spectrum for aeronautical communication, we propose new L-band digital aeronautical communication system (LDACS) using reconfigurable filtered OFDM (Ref-OFDM). The proposed protocol enables transceivers to dynamically adapt the transmission bandwidth over a wide range to meet the desired quality of service, and high out-of-band attenuation leads to significant improvement in the vacant spectrum utilization. We support our claims via simulation and complexity comparison results for various realistic channel conditions.",0018-9251;1557-9603;2371-9877,,10.1109/TAES.2019.2891092,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8603792,Air to ground communication;L-band Digital Aeronautical Communication System (LDACS);air-traffic management (ATM);Spectrum efficiency;Reconfigurable Filtered OFDM,OFDM;Bandwidth;L-band;Transceivers;Interference;Field programmable gate arrays;Communication systems,,,,,,,,,,,IEEE,IEEE Early Access Articles
